Charity Name,EIN,Source,Type,Notes
Academy College Prep,87-4035413,MS_CONFIRMED,Other,
American Independent Foundation,33-1137541,MS_CONFIRMED,Factual Information/Journalism,
AmeriCares Foundation,06-1008595,CROSS_REFERENCED,General Aid,
Boys & Girls Club of the Peninsula,94-1552134,CROSS_REFERENCED,Education/Equity,
BUILD,94-3386695,MS_CONFIRMED,Education/Equity,
Cantor Arts Center at Stanford University,94-1156365,CROSS_REFERENCED,Arts,Part of Stanford - MS DAF match via Stanford Athletics
Center for Inquiry Inc,22-2306795,CROSS_REFERENCED,Factual Information/Journalism,
Computer History Museum,77-0507525,CROSS_REFERENCED,Education/Equity,
Direct Relief,95-1831116,CROSS_REFERENCED,Health/Mother and child support,
Dragon Master Foundation,46-2847688,MS_CONFIRMED,Health/Mother and child support,MS has as Dragon Master Initiative Inc
East Palo Alto Tennis and Tutoring,26-3316879,CROSS_REFERENCED,Education/Equity,
Environment California Research and Policy Center,68-0531882,CROSS_REFERENCED,Climate,
Futures Without Violence,94-3110973,CROSS_REFERENCED,Other,
Golden State Warriors Community Foundation,45-4001645,CROSS_REFERENCED,Education/Equity,
Human Rights Watch Inc,13-2875808,CROSS_REFERENCED,International Welfare,
India Community Center,52-2351119,CROSS_REFERENCED,General Aid,
InnVision Shelter Network,77-0160469,CROSS_REFERENCED,General Aid,
INSEAD Management Education Foundation,13-6209297,CROSS_REFERENCED,Higher Education Institution,
KQED Inc,94-1241309,CROSS_REFERENCED,Factual Information/Journalism,
Martis Camp Community Foundation,27-3532704,MS_CONFIRMED,Other,
Midland Tennis Center,26-1105431,MS_CONFIRMED,International Welfare,donations made to support Ukraine
National Public Radio,52-0907625,CROSS_REFERENCED,Factual Information/Journalism,
Nevada News Bureau Inc,27-3192716,MS_CONFIRMED,Factual Information/Journalism,
NSSF,47-1102256,MS_CONFIRMED,Education/Equity,SF-based org per MS DAF - NOT National Shooting Sports Foundation
Partners In Health,04-3567502,CROSS_REFERENCED,Health/Mother and child support,
Ravenswood Education Foundation,26-0166433,CROSS_REFERENCED,Health/Mother and child support,
Reed College,93-0386908,CROSS_REFERENCED,Higher Education Institution,
Richard Dawkins Foundation for Reason and Science,98-0499347,MS_CONFIRMED,Factual Information/Journalism,
Sacred Heart Schools: Atherton,94-1170355,CROSS_REFERENCED,Education/Equity,
San Francisco AIDS Foundation,94-2927405,CROSS_REFERENCED,Health/Mother and child support,
Second Harvest Food Bank: Santa Clara & San Mateo Counties,94-2614101,CROSS_REFERENCED,Hunger,
Second Harvest of Silicon Valley,94-2614101,CROSS_REFERENCED,Hunger,
Stanford University,94-1156365,CROSS_REFERENCED,Higher Education Institution,
Stanford University Board of Trustees,94-1156365,CROSS_REFERENCED,Higher Education Institution,Same as Stanford University
Stanford University School of Medicine,94-1156365,CROSS_REFERENCED,Higher Education Institution,Same as Stanford University
There With Care of the Bay Area,68-0606330,MS_CONFIRMED,General Aid,
Trustees of Dartmouth College,02-0222111,CROSS_REFERENCED,Higher Education Institution,
WATSI,45-3236734,CROSS_REFERENCED,Health/Mother and child support,
Zidisha Inc.,80-0494876,CROSS_REFERENCED,Other,Microlending
ALSAC - St. Jude Children's Research Hospital,35-1044585,WEB_VERIFIED,Health/Mother and child support ,
American Conservatory Theatre Foundation,94-6135772,WEB_VERIFIED,Art,
American Red Cross,53-0196605,WEB_VERIFIED,General Aid,National organization
Amnesty International USA,52-0851555,WEB_VERIFIED,International Welfare,
ASPCA,13-1623829,WEB_VERIFIED,Animals,
Autism Speaks,20-2329938,WEB_VERIFIED,Health/Mother and child support ,Considered by some to be a hate group now
Avon Products Foundation,13-6128447,WEB_VERIFIED,Health/Mother and child support ,
Big Brothers Big Sisters of America,23-1365190,WEB_VERIFIED,Education/Equity,
Boys and Girls Clubs of America,13-5562976,WEB_VERIFIED,Education/Equity,National organization
CARE: Atlanta,13-1685039,WEB_VERIFIED,Hunger,CARE USA
Children's Tumor Foundation,13-2298956,WEB_VERIFIED,Health/Mother and child support ,ProPublica/Charity Navigator verified
Code for America Labs Inc.,27-1067272,WEB_VERIFIED,Tech,
Code Org,46-0858543,WEB_VERIFIED,Tech,
Doctors Without Borders,13-3433452,WEB_VERIFIED,International Welfare,MSF USA
DonorsChoose,13-4129457,WEB_VERIFIED,Health/Mother and child support ,
Eastern Congo Initiative,45-4103655,WEB_VERIFIED,International Welfare,
Eastside College Preparatory School,94-3187806,WEB_VERIFIED,Education/Equity,
Girls Middle School,94-3253594,WEB_VERIFIED,Education/Equity,The Girls' Middle School Palo Alto
GoFundMe Org,81-2279757,WEB_VERIFIED,International Welfare,GoFundMe.org nonprofit entity; donations made to support Ukraine
Habitat for Humanity,91-1914868,WEB_VERIFIED,General Aid,Habitat for Humanity International
Half the Sky Foundation,95-4714047,WEB_VERIFIED,International Welfare,Now OneSky for all children
Harvard College (President & Fellows),04-2103580,WEB_VERIFIED,Higher Education Institution,
JobTrain,94-1712371,WEB_VERIFIED,Education/Equity,
Lehigh University,24-0795445,WEB_VERIFIED,Higher Education Institution,
Leukemia and Lymphoma Society,13-5644916,WEB_VERIFIED,Health/Mother and child support ,Now Blood Cancer United
Menlo Park Atherton Education Foundation,94-2871701,WEB_VERIFIED,Education/Equity,MPAEF
National Kidney Foundation,13-1673104,WEB_VERIFIED,Health/Mother and child support ,
National Park Foundation,52-1086761,WEB_VERIFIED,Climate,
Opportunities Industrialization Center West (OICW),94-1712371,WEB_VERIFIED,Education/Equity,Now JobTrain - same EIN
Peninsula Open Space Trust,94-2392007,WEB_VERIFIED,Climate,POST
Planned Parenthood Federation of America,13-1644147,WEB_VERIFIED,Health/Mother and child support ,
Relief International,95-4300662,WEB_VERIFIED,International Welfare,
Richmond Rescue Mission (Bay Area Rescue Mission),94-6124054,WEB_VERIFIED,General Aid,
Riekes Center for Human Enhancement,94-3224127,WEB_VERIFIED,Education/Equity,
Ronald McDonald House at Stanford,94-2538615,WEB_VERIFIED,General Aid,RMHC Bay Area
San Francisco Chamber Orchestra,94-6130967,WEB_VERIFIED,Art,
San Francisco SPCA,94-0836580,WEB_VERIFIED,Animals,
San Mateo County Parks & Recreation Foundation,94-3306697,WEB_VERIFIED,Climate,
Save the Children Federation,06-0726487,WEB_VERIFIED,Education/Equity,
Smile Train,13-3661416,WEB_VERIFIED,Health/Mother and child support ,
Soulsville,62-1719414,WEB_VERIFIED,Art,Soulsville Foundation - Memphis - Stax Museum
Summit Public Schools,26-2034843,WEB_VERIFIED,Education/Equity,
Tahoe Expedition Academy Inc,27-5379571,WEB_VERIFIED,Education/Equity,
Teach for America,13-3541913,WEB_VERIFIED,Education/Equity,
Teach for America: Bay Area,13-3541913,WEB_VERIFIED,Education/Equity,Same as national TFA
Turner's Syndrome Society of the US,41-1596910,WEB_VERIFIED,Health/Mother and child support ,
U.S. Fund for UNICEF,13-1760110,WEB_VERIFIED,International Welfare,UNICEF USA
University of Colorado Foundation,84-6049811,WEB_VERIFIED,Higher Education Institution,
World Wildlife Fund Inc.,52-1693387,WEB_VERIFIED,"Animals, Climate",
AIDS Walk San Francisco Foundation,47-4861977,WEB_VERIFIED,Health/Mother and child support ,
American Friends of Orr Shalom Inc,13-3502817,WEB_VERIFIED,Health/Mother and child support ,
Americans for Responsible Solutions Foundation,46-4638549,WEB_VERIFIED,Gun Safety,Now Giffords - ProPublica verified
Beyond 12 Education Inc.,27-1275246,WEB_VERIFIED,Education/Equity,
California League of Conservation Voters Education Fund,94-3232552,WEB_VERIFIED,Climate,
Cancer Prevention Institute of California,23-7427232,WEB_VERIFIED,Health/Mother and child support ,
Catholic Charities of the Archdiocese of San Francisco,94-1498472,WEB_VERIFIED,General Aid,Catholic Charities CYO of SF
Center for Reproductive Rights,13-3669731,WEB_VERIFIED,Health/Mother and child support ,
Choral Arts Society Of Philadelphia,23-2213350,WEB_VERIFIED,Art,
Creating Hope International,38-3288402,WEB_VERIFIED,Health/Mother and child support ,Now Sakena Fund
Encinal School Parent Teacher Organization,20-1194660,WEB_VERIFIED,Education/Equity,Menlo Park City School District PTO
Endeavor Initiative,13-3931449,WEB_VERIFIED,Other,Now Endeavor Global Inc - GuideStar verified
Feminist Majority Foundation,54-1426440,WEB_VERIFIED,Education/Equity,
Frances and Henry Riecken Foundation Inc.,04-3500365,WEB_VERIFIED,Factual Information/Journalism,
George Mark Children's Fund,94-3255845,WEB_VERIFIED,Health/Mother and child support ,GuideStar verified - George Mark Children's House
Grameen America,20-8497991,WEB_VERIFIED,Other,VC
Hack Foundation,81-2908499,WEB_VERIFIED,Tech,hackclub.com fiscal sponsor
Hillview Middle School PTO,20-1194928,WEB_VERIFIED,Education/Equity,Menlo Park City School District PTO
Institute for Nonprofit News,27-2614911,WEB_VERIFIED,Factual Information/Journalism,
International Fund for Animal Welfare (IFAW),31-1594197,WEB_VERIFIED,Animals,
Jewish Family & Children's Services,94-1156528,WEB_VERIFIED,General Aid,SF Bay Area JFCS
Junior League of San Francisco,94-1156336,WEB_VERIFIED,Education/Equity,
Kidney and Urology Foundation of America,13-1777413,WEB_VERIFIED,Health/Mother and child support ,
Lake Tahoe Conservation Fund,01-0974628,WEB_VERIFIED,Climate,IRS verified - also known as The Tahoe Fund
Laurel School PTA,20-1194687,WEB_VERIFIED,Education/Equity,Laurel School Parent Teacher Organization - Atherton
Listen and Talk,91-1728129,WEB_VERIFIED,Education/Equity,
Living With Wolves Ltd.,20-4933982,WEB_VERIFIED,Education/Equity,
Montalvo Association,94-1249283,WEB_VERIFIED,Art,Villa Montalvo - Saratoga CA
National Immigration Law Center,95-4539765,WEB_VERIFIED,Immigration,
Pan Mass Challenge,04-2746912,WEB_VERIFIED,Health/Mother and child support ,PMC - Dana-Farber fundraiser
Represent Us Education Fund,26-3088283,WEB_VERIFIED,Education/Equity,501(c)(3) arm - ProPublica verified
Salvation Army: Golden State Division,94-1156347,WEB_VERIFIED,General Aid,Golden State Division EIN from their website
Samasource Inc.,26-2547062,WEB_VERIFIED,Tech,Nonprofit entity - now Sama (for-profit is 83-1229156)
Social Impact Fund,46-1820448,WEB_VERIFIED,Other,
St. Anthony of Padua Dining Room,94-1513140,WEB_VERIFIED,Hunger,St. Anthony Foundation - SF - GuideStar verified
Team Muscle Makers for UCMD,45-4628882,WEB_VERIFIED,Health/Mother and child support ,
United States Ski Team Foundation,84-6030639,WEB_VERIFIED,Sports,Now U.S. Ski and Snowboard Team Foundation
Until There's A Cure Foundation,94-3181306,WEB_VERIFIED,Health/Mother and child support ,
Votingworks,83-2910494,WEB_VERIFIED,Voting,
